Invoice_ID,Branch,City,Product_line,Unit_price,Quantity,Tax_5,Total_price,Order_date,Order_time,Payment_method,costs,gross_income,Rating
133-14-7229,C,Glasgow,Health and beauty,62.87,2,6.29,132.03,2023-01-01,11:43:00,Cash,125.74,6.29,5.00
133-77-3154,B,Bristol,Fashion accessories,60.18,4,12.04,252.76,2023-02-16,18:04:00,Credit card,240.72,12.04,9.40
134-54-4720,B,Bristol,Electronic accessories,42.42,8,16.97,356.33,2023-01-30,13:58:00,Ewallet,339.36,16.97,5.70
134-75-2619,A,Plymouth,Electronic accessories,19.32,7,6.76,142.00,2023-03-25,18:51:00,Cash,135.24,6.76,6.90
135-13-8269,B,Bristol,Food and beverages,78.88,2,7.89,165.65,2023-01-26,16:04:00,Cash,157.76,7.89,9.10
135-84-8019,A,Plymouth,Fashion accessories,77.93,9,35.07,736.44,2023-02-27,16:10:00,Ewallet,701.37,35.07,7.60
136-08-6195,A,Plymouth,Home and lifestyle,69.96,8,27.98,587.66,2023-02-15,17:01:00,Credit card,559.68,27.98,6.40
137-63-5492,C,Glasgow,Electronic accessories,58.76,10,29.38,616.98,2023-01-29,14:26:00,Ewallet,587.60,29.38,9.00
137-74-8729,C,Glasgow,Fashion accessories,12.19,8,4.88,102.40,2023-03-13,12:47:00,Ewallet,97.52,4.88,6.80
138-17-5109,A,Plymouth,Home and lifestyle,89.21,9,40.14,843.03,2023-01-15,15:42:00,Credit card,802.89,40.14,6.50
139-20-0155,B,Bristol,Electronic accessories,40.30,10,20.15,423.15,2023-01-24,17:37:00,Credit card,403.00,20.15,7.00
139-32-4183,A,Plymouth,Sports and travel,97.48,9,43.87,921.19,2023-03-14,14:19:00,Ewallet,877.32,43.87,7.40
139-52-2867,C,Glasgow,Fashion accessories,22.51,7,7.88,165.45,2023-02-13,10:50:00,Credit card,157.57,7.88,4.80
142-63-6033,B,Bristol,Home and lifestyle,92.36,5,23.09,484.89,2023-03-20,19:17:00,Ewallet,461.80,23.09,4.90
142-72-4741,C,Glasgow,Fashion accessories,93.20,2,9.32,195.72,2023-02-28,18:37:00,Credit card,186.40,9.32,6.00
144-51-6085,A,Plymouth,Home and lifestyle,70.74,4,14.15,297.11,2023-01-05,16:05:00,Credit card,282.96,14.15,4.40
145-94-9061,B,Bristol,Food and beverages,88.36,5,22.09,463.89,2023-01-25,19:48:00,Cash,441.80,22.09,9.60
146-09-5432,A,Plymouth,Food and beverages,35.04,9,15.77,331.13,2023-02-09,19:17:00,Ewallet,315.36,15.77,4.60
148-41-7930,C,Glasgow,Health and beauty,99.96,7,34.99,734.71,2023-01-23,10:33:00,Cash,699.72,34.99,6.10
148-82-2527,C,Glasgow,Home and lifestyle,12.12,10,6.06,127.26,2023-03-05,13:44:00,Credit card,121.20,6.06,8.40
149-14-0304,C,Glasgow,Health and beauty,28.50,8,11.40,239.40,2023-02-06,14:24:00,Cash,228.00,11.40,6.60
149-15-7606,B,Bristol,Sports and travel,37.32,9,16.79,352.67,2023-03-06,15:31:00,Ewallet,335.88,16.79,5.10
149-61-1929,A,Plymouth,Sports and travel,64.19,10,32.10,673.99,2023-01-19,14:08:00,Credit card,641.90,32.10,6.70
149-71-6266,B,Bristol,Sports and travel,78.07,9,35.13,737.76,2023-01-28,12:43:00,Cash,702.63,35.13,4.50
150-89-8043,A,Plymouth,Sports and travel,44.65,3,6.70,140.65,2023-02-14,15:04:00,Cash,133.95,6.70,6.20
151-16-1484,A,Plymouth,Electronic accessories,32.25,4,6.45,135.45,2023-02-13,12:38:00,Ewallet,129.00,6.45,6.50
151-27-8496,C,Glasgow,Electronic accessories,56.13,4,11.23,235.75,2023-01-19,11:43:00,Ewallet,224.52,11.23,8.60
151-33-7434,B,Bristol,Food and beverages,67.77,1,3.39,71.16,2023-02-04,20:43:00,Credit card,67.77,3.39,6.50
152-03-4217,B,Bristol,Home and lifestyle,11.28,9,5.08,106.60,2023-03-17,11:55:00,Credit card,101.52,5.08,4.30
152-08-9985,B,Bristol,Health and beauty,64.36,9,28.96,608.20,2023-03-12,12:09:00,Credit card,579.24,28.96,8.60
152-68-2907,A,Plymouth,Food and beverages,52.20,3,7.83,164.43,2023-02-15,13:30:00,Credit card,156.60,7.83,9.50
153-58-4872,C,Glasgow,Food and beverages,74.89,4,14.98,314.54,2023-03-01,15:32:00,Ewallet,299.56,14.98,4.20
154-74-7179,B,Bristol,Sports and travel,54.45,1,2.72,57.17,2023-02-26,19:24:00,Ewallet,54.45,2.72,7.90
154-87-7367,C,Glasgow,Home and lifestyle,65.26,8,26.10,548.18,2023-03-15,14:04:00,Ewallet,522.08,26.10,6.30
155-45-3814,C,Glasgow,Electronic accessories,88.55,8,35.42,743.82,2023-03-19,15:29:00,Ewallet,708.40,35.42,4.70
156-20-0370,B,Bristol,Electronic accessories,25.45,1,1.27,26.72,2023-03-10,18:10:00,Credit card,25.45,1.27,5.10
156-95-3964,A,Plymouth,Food and beverages,55.39,4,11.08,232.64,2023-03-25,15:19:00,Ewallet,221.56,11.08,8.00
157-13-5295,A,Plymouth,Health and beauty,51.94,10,25.97,545.37,2023-03-09,18:24:00,Ewallet,519.40,25.97,6.50
160-22-2687,A,Plymouth,Health and beauty,95.95,5,23.99,503.74,2023-01-23,14:21:00,Ewallet,479.75,23.99,8.80
162-48-8011,A,Plymouth,Food and beverages,44.59,5,11.15,234.10,2023-02-10,15:10:00,Cash,222.95,11.15,8.50
162-65-8559,C,Glasgow,Food and beverages,68.98,1,3.45,72.43,2023-01-21,20:13:00,Cash,68.98,3.45,4.80
163-56-7055,C,Glasgow,Fashion accessories,48.71,1,2.44,51.15,2023-03-26,19:20:00,Cash,48.71,2.44,4.10
166-19-2553,A,Plymouth,Sports and travel,89.06,6,26.72,561.08,2023-01-18,17:26:00,Cash,534.36,26.72,9.90
169-52-4504,A,Plymouth,Electronic accessories,15.69,3,2.35,49.42,2023-03-14,14:13:00,Credit card,47.07,2.35,5.80
172-42-8274,B,Bristol,Electronic accessories,38.27,2,3.83,80.37,2023-03-02,18:18:00,Credit card,76.54,3.83,5.80
173-50-1108,B,Bristol,Sports and travel,20.18,4,4.04,84.76,2023-02-13,12:14:00,Credit card,80.72,4.04,5.00
173-57-2300,C,Glasgow,Sports and travel,72.88,2,7.29,153.05,2023-03-13,12:51:00,Cash,145.76,7.29,6.10
173-82-9529,B,Bristol,Fashion accessories,37.95,10,18.98,398.48,2023-01-26,14:51:00,Cash,379.50,18.98,9.70
174-36-3675,C,Glasgow,Food and beverages,99.37,2,9.94,208.68,2023-02-14,17:29:00,Cash,198.74,9.94,5.20
174-64-0215,B,Bristol,Sports and travel,69.74,10,34.87,732.27,2023-03-05,17:49:00,Credit card,697.40,34.87,8.90
174-75-0888,B,Bristol,Electronic accessories,21.58,9,9.71,203.93,2023-03-14,12:32:00,Cash,194.22,9.71,7.30
175-54-2529,A,Plymouth,Food and beverages,22.17,8,8.87,186.23,2023-03-03,17:01:00,Credit card,177.36,8.87,9.60
176-64-7711,B,Bristol,Food and beverages,32.32,3,4.85,101.81,2023-03-27,19:11:00,Credit card,96.96,4.85,4.30
176-78-1170,C,Glasgow,Health and beauty,33.81,3,5.07,106.50,2023-01-26,15:11:00,Ewallet,101.43,5.07,7.30
181-82-6255,B,Bristol,Home and lifestyle,16.37,6,4.91,103.13,2023-02-08,10:58:00,Cash,98.22,4.91,7.00
181-94-6432,C,Glasgow,Fashion accessories,69.33,2,6.93,145.59,2023-02-05,19:05:00,Ewallet,138.66,6.93,9.70
182-52-7000,A,Plymouth,Sports and travel,27.04,4,5.41,113.57,2023-01-01,20:26:00,Ewallet,108.16,5.41,6.90
182-69-8360,B,Bristol,Electronic accessories,23.65,4,4.73,99.33,2023-01-30,13:32:00,Credit card,94.60,4.73,4.00
182-88-2763,B,Bristol,Food and beverages,79.91,3,11.99,251.72,2023-03-20,19:28:00,Credit card,239.73,11.99,5.00
183-21-3799,C,Glasgow,Electronic accessories,77.63,9,34.93,733.60,2023-02-19,15:14:00,Ewallet,698.67,34.93,7.20
183-56-6882,C,Glasgow,Food and beverages,99.42,4,19.88,417.56,2023-02-06,10:42:00,Ewallet,397.68,19.88,7.50
186-09-3669,C,Glasgow,Health and beauty,81.51,1,4.08,85.59,2023-01-22,10:57:00,Ewallet,81.51,4.08,9.20
186-43-8965,A,Plymouth,Home and lifestyle,47.68,2,4.77,100.13,2023-02-24,10:10:00,Credit card,95.36,4.77,4.10
186-71-5196,A,Plymouth,Food and beverages,79.54,2,7.95,167.03,2023-03-27,16:30:00,Ewallet,159.08,7.95,6.20
186-79-9562,B,Bristol,Health and beauty,71.77,7,25.12,527.51,2023-03-29,14:06:00,Cash,502.39,25.12,8.90
187-83-5490,A,Plymouth,Electronic accessories,20.77,4,4.15,87.23,2023-01-31,13:47:00,Cash,83.08,4.15,4.70
188-55-0967,B,Bristol,Health and beauty,66.47,10,33.24,697.93,2023-01-15,15:01:00,Credit card,664.70,33.24,5.00
189-08-9157,C,Glasgow,Fashion accessories,31.73,9,14.28,299.85,2023-01-08,16:17:00,Credit card,285.57,14.28,5.90
189-17-4241,A,Plymouth,Fashion accessories,87.67,2,8.77,184.11,2023-03-10,12:17:00,Credit card,175.34,8.77,7.70
189-40-5216,C,Glasgow,Electronic accessories,96.37,7,33.73,708.32,2023-01-09,11:40:00,Cash,674.59,33.73,6.00
189-52-0236,A,Plymouth,Electronic accessories,99.55,7,34.84,731.69,2023-03-14,12:07:00,Cash,696.85,34.84,7.60
189-55-2313,C,Glasgow,Fashion accessories,62.18,10,31.09,652.89,2023-01-31,10:33:00,Ewallet,621.80,31.09,6.00
189-98-2939,C,Glasgow,Fashion accessories,78.55,9,35.35,742.30,2023-03-01,13:22:00,Cash,706.95,35.35,7.20
190-14-3147,B,Bristol,Health and beauty,17.97,4,3.59,75.47,2023-02-23,20:43:00,Ewallet,71.88,3.59,6.40
190-59-3964,B,Bristol,Food and beverages,47.16,5,11.79,247.59,2023-02-03,14:35:00,Credit card,235.80,11.79,6.00
191-10-6171,B,Bristol,Fashion accessories,39.62,7,13.87,291.21,2023-01-25,13:18:00,Cash,277.34,13.87,7.50
191-29-0321,B,Bristol,Fashion accessories,19.77,10,9.89,207.59,2023-02-27,18:57:00,Credit card,197.70,9.89,5.00
192-98-7397,C,Glasgow,Fashion accessories,12.78,1,.64,13.42,2023-01-08,14:11:00,Ewallet,12.78,.64,9.50
195-06-0432,A,Plymouth,Home and lifestyle,81.01,3,12.15,255.18,2023-01-13,12:55:00,Credit card,243.03,12.15,9.30
196-01-2849,C,Glasgow,Fashion accessories,73.38,7,25.68,539.34,2023-02-10,13:56:00,Cash,513.66,25.68,9.50
197-77-7132,B,Bristol,Electronic accessories,91.56,8,36.62,769.10,2023-01-12,18:22:00,Ewallet,732.48,36.62,6.00
198-66-9832,B,Bristol,Fashion accessories,72.04,2,7.20,151.28,2023-02-04,19:38:00,Cash,144.08,7.20,9.50
198-84-7132,B,Bristol,Fashion accessories,40.61,9,18.27,383.76,2023-01-02,13:40:00,Cash,365.49,18.27,7.00
199-75-8169,A,Plymouth,Sports and travel,15.81,10,7.91,166.01,2023-03-06,12:27:00,Credit card,158.10,7.91,8.60
200-16-5952,C,Glasgow,Food and beverages,65.65,2,6.57,137.87,2023-01-17,16:46:00,Cash,131.30,6.57,6.00
200-40-6154,B,Bristol,Home and lifestyle,65.91,6,19.77,415.23,2023-02-09,11:45:00,Cash,395.46,19.77,5.70
201-63-8275,C,Glasgow,Sports and travel,67.99,7,23.80,499.73,2023-02-17,16:50:00,Ewallet,475.93,23.80,5.70
201-86-2184,B,Bristol,Electronic accessories,26.26,7,9.19,193.01,2023-02-02,19:40:00,Cash,183.82,9.19,9.90
207-73-1363,B,Bristol,Health and beauty,69.51,2,6.95,145.97,2023-03-01,12:15:00,Ewallet,139.02,6.95,8.10
209-61-0206,A,Plymouth,Home and lifestyle,42.91,5,10.73,225.28,2023-01-05,17:29:00,Ewallet,214.55,10.73,6.10
210-30-7976,B,Bristol,Fashion accessories,22.32,4,4.46,93.74,2023-03-14,11:16:00,Ewallet,89.28,4.46,4.10
210-57-1719,B,Bristol,Health and beauty,58.24,9,26.21,550.37,2023-02-05,12:34:00,Cash,524.16,26.21,9.70
210-67-5886,C,Glasgow,Health and beauty,98.21,3,14.73,309.36,2023-02-05,10:41:00,Credit card,294.63,14.73,7.80
210-74-9613,C,Glasgow,Fashion accessories,97.26,4,19.45,408.49,2023-03-16,15:33:00,Ewallet,389.04,19.45,6.80
211-05-0490,C,Glasgow,Electronic accessories,51.92,5,12.98,272.58,2023-03-03,13:42:00,Cash,259.60,12.98,7.50
211-30-9270,C,Glasgow,Health and beauty,17.41,5,4.35,91.40,2023-01-28,15:16:00,Credit card,87.05,4.35,4.90
212-62-1842,A,Plymouth,Food and beverages,58.26,6,17.48,367.04,2023-03-28,16:44:00,Cash,349.56,17.48,9.90
213-32-1216,A,Plymouth,Electronic accessories,66.06,6,19.82,416.18,2023-01-23,10:28:00,Cash,396.36,19.82,7.30
213-72-6612,A,Plymouth,Food and beverages,43.25,2,4.32,90.82,2023-03-20,15:56:00,Cash,86.50,4.32,6.20
214-17-6927,C,Glasgow,Food and beverages,16.48,6,4.94,103.82,2023-02-07,18:23:00,Ewallet,98.88,4.94,9.90
214-30-2776,B,Bristol,Electronic accessories,34.49,5,8.62,181.07,2023-03-11,19:44:00,Credit card,172.45,8.62,9.00
217-58-1179,A,Plymouth,Home and lifestyle,62.65,4,12.53,263.13,2023-01-05,11:25:00,Cash,250.60,12.53,4.20
218-59-9410,A,Plymouth,Home and lifestyle,72.42,3,10.86,228.12,2023-03-29,16:54:00,Ewallet,217.26,10.86,8.20
219-22-9386,B,Bristol,Sports and travel,99.96,9,44.98,944.62,2023-03-09,17:26:00,Credit card,899.64,44.98,4.20
219-61-4139,C,Glasgow,Electronic accessories,83.08,1,4.15,87.23,2023-01-23,17:16:00,Ewallet,83.08,4.15,6.40
220-28-1851,A,Plymouth,Home and lifestyle,34.73,2,3.47,72.93,2023-03-01,18:14:00,Ewallet,69.46,3.47,9.70
220-68-6701,A,Plymouth,Home and lifestyle,77.47,4,15.49,325.37,2023-03-17,16:36:00,Cash,309.88,15.49,4.20
221-25-5073,A,Plymouth,Food and beverages,74.66,4,14.93,313.57,2023-03-04,10:39:00,Cash,298.64,14.93,8.50
222-42-0244,B,Bristol,Health and beauty,72.11,9,32.45,681.44,2023-01-28,13:53:00,Credit card,648.99,32.45,7.70
225-32-0908,C,Glasgow,Sports and travel,44.86,10,22.43,471.03,2023-01-26,19:54:00,Ewallet,448.60,22.43,8.20
225-98-1496,C,Glasgow,Fashion accessories,27.02,3,4.05,85.11,2023-03-02,13:01:00,Credit card,81.06,4.05,7.10
226-31-3081,C,Glasgow,Electronic accessories,15.28,5,3.82,80.22,2023-03-08,10:29:00,Cash,76.40,3.82,9.60
226-34-0034,B,Bristol,Electronic accessories,13.78,4,2.76,57.88,2023-01-10,11:10:00,Ewallet,55.12,2.76,9.00
226-71-3580,C,Glasgow,Sports and travel,23.75,9,10.69,224.44,2023-01-31,12:02:00,Cash,213.75,10.69,9.50
227-03-5010,A,Plymouth,Home and lifestyle,52.59,8,21.04,441.76,2023-03-22,19:20:00,Credit card,420.72,21.04,8.50
227-07-4446,C,Glasgow,Electronic accessories,78.13,10,39.06,820.36,2023-02-10,20:51:00,Cash,781.30,39.06,4.40
227-50-3718,A,Plymouth,Health and beauty,14.62,5,3.65,76.75,2023-03-04,12:23:00,Cash,73.10,3.65,4.40
227-78-1148,B,Bristol,Fashion accessories,72.84,7,25.49,535.37,2023-02-15,12:44:00,Cash,509.88,25.49,8.40
228-96-1411,C,Glasgow,Food and beverages,98.70,8,39.48,829.08,2023-03-04,20:39:00,Cash,789.60,39.48,7.60
232-11-3025,A,Plymouth,Sports and travel,78.77,10,39.38,827.09,2023-01-24,10:04:00,Cash,787.70,39.38,6.40
232-16-2483,C,Glasgow,Sports and travel,68.12,1,3.41,71.53,2023-01-07,12:28:00,Ewallet,68.12,3.41,6.80
233-34-0817,C,Glasgow,Electronic accessories,98.84,1,4.94,103.78,2023-02-15,11:21:00,Cash,98.84,4.94,8.40
233-67-5758,C,Glasgow,Health and beauty,40.35,1,2.02,42.37,2023-01-29,13:46:00,Ewallet,40.35,2.02,6.20
234-03-4040,B,Bristol,Food and beverages,73.05,10,36.53,767.03,2023-03-03,12:25:00,Credit card,730.50,36.53,8.70
234-36-2483,B,Bristol,Health and beauty,57.59,6,17.28,362.82,2023-02-15,13:51:00,Cash,345.54,17.28,5.10
234-65-2137,C,Glasgow,Home and lifestyle,95.58,10,47.79,1003.59,2023-01-16,13:32:00,Cash,955.80,47.79,4.80
235-06-8510,C,Glasgow,Home and lifestyle,85.72,3,12.86,270.02,2023-01-24,20:59:00,Ewallet,257.16,12.86,5.10
235-46-8343,C,Glasgow,Food and beverages,27.66,10,13.83,290.43,2023-02-14,11:26:00,Credit card,276.60,13.83,8.90
236-27-1144,C,Glasgow,Food and beverages,16.31,9,7.34,154.13,2023-03-26,10:31:00,Ewallet,146.79,7.34,8.40
236-86-3015,C,Glasgow,Home and lifestyle,13.98,1,.70,14.68,2023-02-04,13:38:00,Ewallet,13.98,.70,9.80
237-01-6122,C,Glasgow,Home and lifestyle,80.79,9,36.36,763.47,2023-02-01,20:31:00,Credit card,727.11,36.36,9.50
237-44-6163,A,Plymouth,Electronic accessories,10.56,8,4.22,88.70,2023-01-24,17:43:00,Cash,84.48,4.22,7.60
238-45-6950,B,Bristol,Food and beverages,53.72,1,2.69,56.41,2023-03-01,20:03:00,Ewallet,53.72,2.69,6.40
238-49-0436,A,Plymouth,Health and beauty,32.46,8,12.98,272.66,2023-03-27,13:48:00,Credit card,259.68,12.98,4.90
239-10-7476,A,Plymouth,Home and lifestyle,77.95,6,23.39,491.08,2023-01-21,16:37:00,Ewallet,467.70,23.39,8.00
239-36-3640,B,Bristol,Electronic accessories,45.35,6,13.60,285.70,2023-01-31,13:44:00,Ewallet,272.10,13.60,6.10
239-48-4278,A,Plymouth,Food and beverages,10.13,7,3.55,74.46,2023-03-10,19:35:00,Ewallet,70.91,3.55,8.30
241-11-2261,B,Bristol,Fashion accessories,79.86,7,27.95,586.97,2023-01-10,10:33:00,Credit card,559.02,27.95,5.50
241-72-9525,B,Bristol,Sports and travel,51.91,10,25.95,545.05,2023-02-16,12:21:00,Cash,519.10,25.95,8.20
241-96-5076,B,Bristol,Home and lifestyle,49.10,2,4.91,103.11,2023-01-08,12:58:00,Credit card,98.20,4.91,6.40
242-11-3142,B,Bristol,Fashion accessories,83.77,2,8.38,175.92,2023-02-24,19:57:00,Cash,167.54,8.38,4.60
242-55-6721,B,Bristol,Home and lifestyle,16.16,2,1.62,33.94,2023-03-07,11:49:00,Ewallet,32.32,1.62,6.50
243-47-2663,C,Glasgow,Electronic accessories,18.77,6,5.63,118.25,2023-01-28,16:43:00,Credit card,112.62,5.63,5.50
243-55-8457,A,Plymouth,Food and beverages,74.44,10,37.22,781.62,2023-02-27,11:40:00,Ewallet,744.40,37.22,5.10
244-08-0162,B,Bristol,Health and beauty,34.21,10,17.10,359.20,2023-01-02,13:00:00,Cash,342.10,17.10,5.10
246-11-3901,C,Glasgow,Electronic accessories,32.80,10,16.40,344.40,2023-02-15,12:12:00,Cash,328.00,16.40,6.20
246-55-6923,C,Glasgow,Home and lifestyle,35.79,9,16.11,338.22,2023-03-10,15:06:00,Credit card,322.11,16.11,5.10
247-11-2470,A,Plymouth,Fashion accessories,22.32,4,4.46,93.74,2023-03-01,16:23:00,Credit card,89.28,4.46,4.40
249-42-3782,A,Plymouth,Health and beauty,70.01,5,17.50,367.55,2023-01-03,11:36:00,Ewallet,350.05,17.50,5.50
250-17-5703,A,Plymouth,Food and beverages,18.85,10,9.43,197.93,2023-02-27,18:24:00,Ewallet,188.50,9.43,5.60
250-81-7186,C,Glasgow,Electronic accessories,99.69,1,4.98,104.67,2023-02-27,10:23:00,Credit card,99.69,4.98,8.00
252-56-2699,A,Plymouth,Food and beverages,43.19,10,21.59,453.49,2023-02-07,16:48:00,Ewallet,431.90,21.59,8.20
253-12-6086,A,Plymouth,Sports and travel,98.40,7,34.44,723.24,2023-03-12,12:43:00,Credit card,688.80,34.44,8.70
254-31-0042,A,Plymouth,Electronic accessories,21.50,9,9.68,203.18,2023-03-06,12:46:00,Credit card,193.50,9.68,7.80
256-08-8343,A,Plymouth,Home and lifestyle,56.53,4,11.31,237.43,2023-03-04,19:48:00,Ewallet,226.12,11.31,5.50
256-58-3609,C,Glasgow,Fashion accessories,91.98,1,4.60,96.58,2023-03-18,15:29:00,Cash,91.98,4.60,9.80
257-60-7754,A,Plymouth,Electronic accessories,50.23,4,10.05,210.97,2023-01-08,17:12:00,Cash,200.92,10.05,9.00
257-73-1380,C,Glasgow,Sports and travel,82.93,4,16.59,348.31,2023-01-20,16:51:00,Ewallet,331.72,16.59,9.60
258-69-7810,C,Glasgow,Fashion accessories,36.85,5,9.21,193.46,2023-01-26,18:53:00,Cash,184.25,9.21,9.20
258-92-7466,A,Plymouth,Health and beauty,35.68,5,8.92,187.32,2023-02-06,18:33:00,Credit card,178.40,8.92,6.60
261-12-8671,B,Bristol,Fashion accessories,60.96,2,6.10,128.02,2023-01-25,19:39:00,Credit card,121.92,6.10,4.90
262-47-2794,B,Bristol,Home and lifestyle,71.86,8,28.74,603.62,2023-03-06,15:07:00,Credit card,574.88,28.74,6.20
263-10-3913,C,Glasgow,Fashion accessories,49.04,9,22.07,463.43,2023-01-09,14:20:00,Credit card,441.36,22.07,8.60
263-12-5321,A,Plymouth,Electronic accessories,92.60,7,32.41,680.61,2023-02-27,12:52:00,Credit card,648.20,32.41,9.30
263-87-5680,C,Glasgow,Home and lifestyle,28.53,10,14.27,299.57,2023-03-18,17:38:00,Ewallet,285.30,14.27,7.80
266-20-6657,C,Glasgow,Food and beverages,55.04,7,19.26,404.54,2023-03-12,19:39:00,Ewallet,385.28,19.26,5.20
266-76-6436,C,Glasgow,Food and beverages,38.60,3,5.79,121.59,2023-03-28,13:57:00,Ewallet,115.80,5.79,7.50
267-62-7380,C,Glasgow,Electronic accessories,82.34,10,41.17,864.57,2023-03-29,19:12:00,Ewallet,823.40,41.17,4.30
268-03-6164,B,Bristol,Health and beauty,96.11,1,4.81,100.92,2023-01-25,16:28:00,Ewallet,96.11,4.81,7.80
268-20-3585,C,Glasgow,Health and beauty,13.85,9,6.23,130.88,2023-02-04,12:50:00,Ewallet,124.65,6.23,6.00
268-27-6179,B,Bristol,Fashion accessories,56.47,8,22.59,474.35,2023-03-09,14:57:00,Ewallet,451.76,22.59,7.30
269-04-5750,B,Bristol,Fashion accessories,73.82,4,14.76,310.04,2023-02-21,18:31:00,Cash,295.28,14.76,6.70
269-10-8440,A,Plymouth,Health and beauty,53.17,7,18.61,390.80,2023-01-21,18:01:00,Cash,372.19,18.61,8.90
271-77-8740,C,Glasgow,Sports and travel,29.22,6,8.77,184.09,2023-01-01,11:40:00,Ewallet,175.32,8.77,5.00
271-88-8734,C,Glasgow,Fashion accessories,97.21,10,48.60,1020.71,2023-02-08,13:00:00,Credit card,972.10,48.60,8.70
272-27-9238,C,Glasgow,Food and beverages,41.24,4,8.25,173.21,2023-02-19,16:23:00,Cash,164.96,8.25,7.10
272-65-1806,A,Plymouth,Electronic accessories,60.88,9,27.40,575.32,2023-01-15,17:17:00,Ewallet,547.92,27.40,4.70
